Title,Auther,Product_URL,Book_type,Original_Price,Discounted_Price,ISBN_10,Published_Date,Publisher,No_of_pages
The Gutter Prayer,Gareth Hanrahan,https://www.booktopia.com.au/book/9780356511511.html,ePUB,12.99,12.99,356511510,15-01-2019,"Little, Brown Book Group",544
Thor & Loki,Jeff Limke,https://www.booktopia.com.au/book/9781306291859.html,E-Book,,,1306291852,01-01-2006,Graphic Universe,52
A Perfect Spy,John le Carré,https://www.booktopia.com.au/book/9780241322499.html,ePUB,15.99,15.99,241322499,27-09-2018,Penguin Books Ltd,688
Claiming the Dragon King,Amelia Hutchins,https://www.booktopia.com.au/book/9780997720105.html,ePUB,6.99,6.99,997720107,10-07-2018,Amelia Hutchins,
Quick & Clever Watercolor Pencils,Charles Evans,https://www.booktopia.com.au/book/9780715335543.html,PDF,30.9,30.9,715335545,15-04-2006,DAVID & CHARLES,128
Introducing Postmodernism,Richard Appignanesi,https://www.booktopia.com.au/book/9781281371973.html,E-Book,,,1281371971,01-01-2004,Icon Books Limited,191
There Is No Planet B,Mike Berners-Lee,https://www.booktopia.com.au/book/9781108337519.html,PDF,18.95,18.95,1108337511,28-02-2019,Cambridge University Press,0
Strumpet City,James Plunkett,https://www.booktopia.com.au/book/9780717155651.html,ePUB,8.99,8.99,071715565X,22-02-2013,Gill Books,560
The Boy with the Topknot,Sathnam Sanghera,https://www.booktopia.com.au/book/9780670923090.html,ePUB,15.99,15.99,670923095,29-11-2012,Penguin Books Ltd,336
Hope,Lesley Pearse,https://www.booktopia.com.au/book/9780141900940.html,ePUB,15.99,15.99,141900946,11-01-2007,Penguin Books Ltd,688
Where Good Ideas Come From,Steven Johnson,https://www.booktopia.com.au/book/9780141964591.html,ePUB,15.99,15.99,141964596,07-10-2010,Penguin Books Ltd,336
Astrology for the Soul,Jan Spiller,https://www.booktopia.com.au/book/9780307426758.html,ePUB,17.14,13.99,307426750,04-11-2009,Random House Publishing Group,
How I Made $2 Million in the Stock Market,Nicolas Darvas,https://www.booktopia.com.au/book/9780857191410.html,ePUB,21.99,20.99,857191411,27-03-2020,Harriman House,198
Paradise Lodge,Nina Stibbe,https://www.booktopia.com.au/book/9780241974933.html,ePUB,15.99,15.99,241974933,02-06-2016,Penguin Books Ltd,320
Last Chance Saloon,Marian Keyes,https://www.booktopia.com.au/book/9780141909820.html,ePUB,15.99,15.99,014190982X,07-07-2005,Penguin Books Ltd,608
Notes to Self,Emilie Pine,https://www.booktopia.com.au/book/9780241986233.html,ePUB,15.99,15.99,241986230,31-01-2019,Penguin Books Ltd,192
The Art of War,Sun Tzu,https://www.booktopia.com.au/book/9780857081025.html,ePUB,16.99,16.99,857081020,16-05-2016,Wiley,220
Another Woman,Penny Vincenzi,https://www.booktopia.com.au/book/9780755351473.html,ePUB,12.99,12.99,755351479,04-09-2008,Headline,640
Mr Loverman,Bernardine Evaristo,https://www.booktopia.com.au/book/9780241963913.html,ePUB,15.99,15.99,241963915,29-08-2013,Penguin Books Ltd,288
The Winner,David Baldacci,https://www.booktopia.com.au/book/9780330527989.html,ePUB,11.5,8.5,330527983,16-05-2011,,592
The French Slow Cooker,Michele Scicolone,https://www.booktopia.com.au/book/9780547607955.html,ePUB,39.59,31.99,547607954,16-04-2024,HarperCollins,240
The Polyvagal Theory in Therapy,Deb Dana,https://www.booktopia.com.au/book/9780393712384.html,ePUB,51.34,41.99,393712389,12-06-2018,W. W. Norton & Company,
"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1",Kisetsu Morita,https://www.booktopia.com.au/book/9780316448284.html,ePUB,17.6,16.99,316448281,24-04-2018,Yen Press,
No One Is Too Small to Make a Difference,Greta Thunberg,https://www.booktopia.com.au/book/9780141991757.html,ePUB,14.99,14.99,141991755,30-05-2019,Penguin Books Ltd,80
Ask and It Is Given,Esther Hicks,https://www.booktopia.com.au/book/9781401919276.html,ePUB,18.34,14.99,1401919278,01-10-2004,Hay House,314
Blood Song,Anthony Ryan,https://www.booktopia.com.au/book/9781405525961.html,ePUB,12.99,12.99,1405525967,11-04-2013,"Little, Brown Book Group",592
Welcome To Rosie Hopkins' Sweetshop Of Dreams,Jenny Colgan,https://www.booktopia.com.au/book/9780748121960.html,ePUB,12.99,12.99,074812196X,29-03-2012,"Little, Brown Book Group",400
A Short History of Europe,Simon Jenkins,https://www.booktopia.com.au/book/9780241352533.html,ePUB,15.99,15.99,241352533,08-11-2018,Penguin Books Ltd,400
Postmortem,Patricia Cornwell,https://www.booktopia.com.au/book/9780748109500.html,ePUB,12.99,12.99,748109501,04-09-2008,"Little, Brown Book Group",416
The Girl On Legare Street,Karen White,https://www.booktopia.com.au/book/9781101155646.html,ePUB,10.27,9.99,1101155647,03-11-2009,Penguin Publishing Group,
